worm.number,date,wormStrain,pathogenStrain,pathogenDose,doseLevel,timepoint,merontsPresent,sporesPresent,numEmbryos,experiment,experimenter,description,Infection Date,Plate Number,Total Worms,Spore Lot,Lot concentration,Total ul spore,Infection Round,40X OP50 (mL),Plate Size,Spores/cm2,Temp,infection.type,Staining Date,Stain type,Slide date,Slide number,Slide Box,Imaging Date
1,190426,JU360,LUAm1,20M,High,72hpi,TRUE,FALSE,0,190426_JU360_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,24,1000,2A,176000,113.6363636,1,0.15,6,0.707714084,21,continuous,190513,Sp.9 FISH + DY96,190515,24,2,190516
1,190426,JU397,LUAm1,0M,Mock,72hpi,FALSE,FALSE,11,190426_JU397_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,10,1000,2A,176000,0,1,0.15,6,0,21,continuous,190430,DY96,190501,10,2,190502
1,190426,JU397,LUAm1,10M,Medium,72hpi,TRUE,FALSE,16,190426_JU397_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,11,1000,2A,176000,56.81818182,1,0.15,6,0.353857042,21,continuous,190513,Sp.9 FISH + DY96,190515,11,2,190516
1,190426,JU397,LUAm1,20M,High,72hpi,TRUE,FALSE,8,190426_JU397_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,12,1000,2A,176000,113.6363636,1,0.15,6,0.707714084,21,continuous,190513,Sp.9 FISH + DY96,190515,12,2,190516
1,190426,JU642,LUAm1,0M,Mock,72hpi,FALSE,FALSE,12,190426_JU642_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,13,1000,2A,176000,0,1,0.15,6,0,21,continuous,190430,DY96,190501,13,2,190502
1,190426,JU642,LUAm1,10M,Medium,72hpi,TRUE,FALSE,6,190426_JU642_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,14,1000,2A,176000,56.81818182,1,0.15,6,0.353857042,21,continuous,190513,Sp.9 FISH + DY96,190515,14,2,190516
1,190426,JU642,LUAm1,20M,High,72hpi,TRUE,FALSE,0,190426_JU642_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,15,1000,2A,176000,113.6363636,1,0.15,6,0.707714084,21,continuous,190513,Sp.9 FISH + DY96,190515,15,2,190516
1,190426,MY1,LUAm1,0M,Mock,72hpi,FALSE,FALSE,19,190426_MY1_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,28,1000,2A,176000,0,1,0.15,6,0,21,continuous,190430,DY96,190501,28,2,190502
1,190426,MY1,LUAm1,10M,Medium,72hpi,TRUE,FALSE,0,190426_MY1_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,29,1000,2A,176000,56.81818182,1,0.15,6,0.353857042,21,continuous,190513,Sp.9 FISH + DY96,190515,29,2,190516
1,190426,MY1,LUAm1,20M,High,72hpi,TRUE,FALSE,0,190426_MY1_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,30,1000,2A,176000,113.6363636,1,0.15,6,0.707714084,21,continuous,190513,Sp.9 FISH + DY96,190515,30,2,190516
1,190426,MY2,ERTm2,0.5M,Medium,72hpi,TRUE,TRUE,19,190426_MY2_ERTm2_0.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,62,1000,1,240000,2.083333333,1,0.15,6,0.017692852,21,continuous,190430,DY96,190501,62,2,190502
1,190426,MY2,ERTm2,0M,Mock,72hpi,TRUE,FALSE,26,190426_MY2_ERTm2_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,61,1000,1,240000,0,1,0.15,6,0,21,continuous,190430,DY96,190501,61,2,190502
1,190426,MY2,ERTm2,1.5M,High,72hpi,TRUE,TRUE,0,190426_MY2_ERTm2_1.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,63,1000,1,240000,6.25,1,0.15,6,0.053078556,21,continuous,190430,DY96,190501,63,2,190502
1,190426,MY2,ERTm5,0M,Mock,72hpi,TRUE,FALSE,26,190426_MY2_ERTm5_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,49,1000,2,427000,0,1,0.15,6,0,21,continuous,190430,DY96,190501,49,2,190502
1,190426,MY2,ERTm5,1.75M,Medium,72hpi,TRUE,FALSE,18,190426_MY2_ERTm5_1.75M_72hpi,CM,Wild isolate phenoMIP retest,190423,50,1000,2,427000,4.098360656,1,0.15,6,0.061924982,21,continuous,190430,DY96,190501,50,2,190502
1,190426,MY2,ERTm5,3.5M,High,72hpi,TRUE,TRUE,5,190426_MY2_ERTm5_3.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,51,1000,2,427000,8.196721311,1,0.15,6,0.123849965,21,continuous,190430,DY96,190501,51,2,190502
1,190426,MY6,LUAm1,0M,Mock,72hpi,FALSE,FALSE,17,190426_MY6_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,16,1000,2A,176000,0,1,0.15,6,0,21,continuous,190430,DY96,190501,16,2,190502
1,190426,MY6,LUAm1,10M,Medium,72hpi,TRUE,FALSE,17,190426_MY6_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,17,1000,2A,176000,56.81818182,1,0.15,6,0.353857042,21,continuous,190513,Sp.9 FISH + DY96,190515,17,2,190516
1,190426,MY6,LUAm1,20M,High,72hpi,TRUE,FALSE,4,190426_MY6_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,18,1000,2A,176000,113.6363636,1,0.15,6,0.707714084,21,continuous,190513,Sp.9 FISH + DY96,190515,18,2,190516
1,190426,N2,ERTm2,0.5M,Medium,72hpi,TRUE,TRUE,11,190426_N2_ERTm2_0.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,56,1000,1,240000,2.083333333,1,0.15,6,0.017692852,21,continuous,190430,DY96,190501,56,2,190502
1,190426,N2,ERTm2,0M,Mock,72hpi,TRUE,FALSE,25,190426_N2_ERTm2_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,55,1000,1,240000,0,1,0.15,6,0,21,continuous,190430,DY96,190501,55,2,190502
1,190426,N2,ERTm2,1.5M,High,72hpi,TRUE,FALSE,7,190426_N2_ERTm2_1.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,57,1000,1,240000,6.25,1,0.15,6,0.053078556,21,continuous,190430,DY96,190501,57,2,190502
1,190426,N2,ERTm5,0M,Mock,72hpi,TRUE,FALSE,20,190426_N2_ERTm5_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,37,1000,2,427000,0,1,0.15,6,0,21,continuous,190529,microb FISH + DY96,190530,37,3,201026
1,190426,N2,ERTm5,1.75M,Medium,72hpi,TRUE,TRUE,0,190426_N2_ERTm5_1.75M_72hpi,CM,Wild isolate phenoMIP retest,190423,38,1000,2,427000,4.098360656,1,0.15,6,0.061924982,21,continuous,190529,microb FISH + DY96,190530,38,3,201026
1,190426,N2,ERTm5,3.5M,High,72hpi,TRUE,TRUE,9,190426_N2_ERTm5_3.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,39,1000,2,427000,8.196721311,1,0.15,6,0.123849965,21,continuous,190529,microb FISH + DY96,190530,39,3,201026
1,190426,N2,LUAm1,0M,Mock,72hpi,FALSE,FALSE,20,190426_N2_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,4,1000,2A,176000,0,1,0.15,6,0,21,continuous,190430,DY96,190501,4,2,190502
1,190426,N2,LUAm1,10M,Medium,72hpi,TRUE,FALSE,12,190426_N2_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,5,1000,2A,176000,56.81818182,1,0.15,6,0.353857042,21,continuous,190513,Sp.9 FISH + DY96,190515,5,2,190516
1,190426,N2,LUAm1,20M,High,72hpi,TRUE,FALSE,7,190426_N2_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,6,1000,2A,176000,113.6363636,1,0.15,6,0.707714084,21,continuous,190513,Sp.9 FISH + DY96,190515,6,2,190516
1,190426,VC20019,ERTm2,0.5M,Medium,72hpi,TRUE,TRUE,0,190426_VC20019_ERTm2_0.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,53,1000,1,240000,2.083333333,1,0.15,6,0.017692852,21,continuous,190430,DY96,190501,53,2,190502
1,190426,VC20019,ERTm2,0M,Mock,72hpi,TRUE,FALSE,16,190426_VC20019_ERTm2_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,52,1000,1,240000,0,1,0.15,6,0,21,continuous,190430,DY96,190501,52,2,190502
1,190426,VC20019,ERTm2,1.5M,High,72hpi,TRUE,TRUE,0,190426_VC20019_ERTm2_1.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,54,1000,1,240000,6.25,1,0.15,6,0.053078556,21,continuous,190430,DY96,190501,54,2,190502
1,190426,VC20019,ERTm5,0M,Mock,72hpi,TRUE,FALSE,10,190426_VC20019_ERTm5_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,34,1000,2,427000,0,1,0.15,6,0,21,continuous,190430,DY96,190501,34,2,190502
1,190426,VC20019,ERTm5,1.75M,Medium,72hpi,TRUE,TRUE,6,190426_VC20019_ERTm5_1.75M_72hpi,CM,Wild isolate phenoMIP retest,190423,35,1000,2,427000,4.098360656,1,0.15,6,0.061924982,21,continuous,190430,DY96,190501,35,2,190502
1,190426,VC20019,ERTm5,3.5M,High,72hpi,TRUE,TRUE,0,190426_VC20019_ERTm5_3.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,36,1000,2,427000,8.196721311,1,0.15,6,0.123849965,21,continuous,190430,DY96,190501,36,2,190502
1,190426,VC20019,LUAm1,0M,Mock,72hpi,FALSE,FALSE,19,190426_VC20019_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,1,1000,2A,176000,0,1,0.15,6,0,21,continuous,190513,Sp.9 FISH + DY96,190515,1,2,190516
1,190426,VC20019,LUAm1,10M,Medium,72hpi,TRUE,FALSE,13,190426_VC20019_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,2,1000,2A,176000,56.81818182,1,0.15,6,0.353857042,21,continuous,190513,Sp.9 FISH + DY96,190515,2,2,190516
1,190426,VC20019,LUAm1,20M,High,72hpi,TRUE,FALSE,11,190426_VC20019_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,3,1000,2A,176000,113.6363636,1,0.15,6,0.707714084,21,continuous,190513,Sp.9 FISH + DY96,190515,3,2,190516
1,200707,ED3052A,LUAm1,0M,Mock,72hpi,FALSE,FALSE,12,200707_ED3052A_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,5,1000,2A,176000,0,1,0.25,6,0,21,continuous,200803,Sp.9 FISH + DY96,200804,5,3,200806
1,200707,ED3052A,LUAm1,10M,Medium,72hpi,TRUE,FALSE,0,200707_ED3052A_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,6,1000,2A,176000,56.81818182,1,0.25,6,0.353857042,21,continuous,200803,Sp.9 FISH + DY96,200804,6,3,200806
1,200707,ED3052B,LUAm1,0M,Mock,72hpi,FALSE,FALSE,5,200707_ED3052B_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,7,1000,2A,176000,0,1,0.25,6,0,21,continuous,200803,Sp.9 FISH + DY96,200804,7,3,200806
1,200707,ED3052B,LUAm1,10M,Medium,72hpi,TRUE,FALSE,9,200707_ED3052B_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,8,1000,2A,176000,56.81818182,1,0.25,6,0.353857042,21,continuous,200803,Sp.9 FISH + DY96,200804,8,3,200806
1,200707,JU1400,AWRm78,3.5M,High,72hpi,TRUE,FALSE,0,200707_JU1400_AWRm78_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,16,1000,1,63625,55.00982318,1,0.25,6,0.123849965,21,continuous,200803,microB FISH + DY96,200804,16,3,200806
1,200707,JU1400,ERTm5,1.75M,Medium,72hpi,FALSE,FALSE,3,200707_JU1400_ERTm5_1.75M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,19,1000,2,427000,4.098360656,1,0.25,6,0.061924982,21,continuous,200803,microB FISH + DY96,200804,19,3,200806
1,200707,JU1400,ERTm5,3.5M,High,72hpi,FALSE,FALSE,10,200707_JU1400_ERTm5_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,20,1000,2,427000,8.196721311,1,0.25,6,0.123849965,21,continuous,200803,microB FISH + DY96,200804,20,3,200806
1,200707,JU1400,LUAm1,0M,Mock,72hpi,FALSE,FALSE,10,200707_JU1400_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,3,1000,2A,176000,0,1,0.25,6,0,21,continuous,200803,Sp.9 FISH + DY96,200804,3,3,200806
1,200707,JU1400,LUAm1,10M,Medium,72hpi,TRUE,FALSE,0,200707_JU1400_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,4,1000,2A,176000,56.81818182,1,0.25,6,0.353857042,21,continuous,200803,Sp.9 FISH + DY96,200804,4,3,200806
1,200707,JU1400,LUAm3,10M,Medium,72hpi,TRUE,FALSE,0,200707_JU1400_LUAm3_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,14,1000,1,100000,100,1,0.25,6,0.353857042,21,continuous,200803,Sp.9 FISH + DY96,200804,14,3,200806
1,200707,JU1400,MAM1,4M,Medium,72hpi,TRUE,TRUE,2,200707_JU1400_MAM1_4M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,12,1000,1,370000,10.81081081,1,0.25,6,0.141542817,21,continuous,200803,microB FISH + DY96,200804,12,3,200806
1,200707,MY1,ERTm5,1.75M,Medium,72hpi,TRUE,FALSE,10,200707_MY1_ERTm5_1.75M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,21,1000,2,427000,4.098360656,1,0.25,6,0.061924982,21,continuous,200803,microB FISH + DY96,200804,21,3,200806
1,200707,MY1,ERTm5,3.5M,High,72hpi,TRUE,FALSE,10,200707_MY1_ERTm5_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,22,1000,2,427000,8.196721311,1,0.25,6,0.123849965,21,continuous,200803,microB FISH + DY96,200804,22,3,200806
1,200707,MY1,LUAm1,0M,Mock,72hpi,FALSE,FALSE,11,200707_MY1_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,9,1000,2A,176000,0,1,0.25,6,0,21,continuous,200803,Sp.9 FISH + DY96,200804,9,3,200806
1,200707,MY1,LUAm1,10M,Medium,72hpi,TRUE,FALSE,0,200707_MY1_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,10,1000,2A,176000,56.81818182,1,0.25,6,0.353857042,21,continuous,200803,Sp.9 FISH + DY96,200804,10,3,200806
1,200707,N2,AWRm78,3.5M,High,72hpi,TRUE,TRUE,15,200707_N2_AWRm78_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,15,1000,1,63625,55.00982318,1,0.25,6,0.123849965,21,continuous,200803,microB FISH + DY96,200804,15,3,200806
1,200707,N2,ERTm5,1.75M,Medium,72hpi,TRUE,TRUE,9,200707_N2_ERTm5_1.75M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,17,1000,2,427000,4.098360656,1,0.25,6,0.061924982,21,continuous,200803,microB FISH + DY96,200804,17,3,200806
1,200707,N2,ERTm5,3.5M,High,72hpi,TRUE,TRUE,1,200707_N2_ERTm5_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,18,1000,2,427000,8.196721311,1,0.25,6,0.123849965,21,continuous,200803,microB FISH + DY96,200804,18,3,200806
1,200707,N2,LUAm1,0M,Mock,72hpi,FALSE,FALSE,18,200707_N2_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,1,1000,2A,176000,0,1,0.25,6,0,21,continuous,200803,Sp.9 FISH + DY96,200804,1,3,200806
1,200707,N2,LUAm1,10M,Medium,72hpi,TRUE,FALSE,7,200707_N2_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,2,1000,2A,176000,56.81818182,1,0.25,6,0.353857042,21,continuous,200803,Sp.9 FISH + DY96,200804,2,3,200806
1,200707,N2,LUAm3,10M,Medium,72hpi,TRUE,FALSE,27,200707_N2_LUAm3_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,13,1000,1,100000,90,1,0.25,6,0.353857042,21,continuous,200803,Sp.9 FISH + DY96,200804,13,3,200806
1,200707,N2,MAM1,4M,Medium,72hpi,TRUE,FALSE,15,200707_N2_MAM1_4M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,11,1000,1,370000,10.81081081,1,0.25,6,0.141542817,21,continuous,200803,microB FISH + DY96,200804,11,3,200806
1,200714,ED3052A,LUAm1,0M,Mock,72hpi,FALSE,FALSE,8,200714_ED3052A_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,5,1000,2A,176000,0,1,0.25,6,0,21,continuous,200810,Sp.9 FISH + DY96,200811,5,4,200813
1,200714,ED3052A,LUAm1,10M,Medium,72hpi,TRUE,FALSE,0,200714_ED3052A_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,6,1000,2A,176000,56.81818182,1,0.25,6,0.353857042,21,continuous,200810,Sp.9 FISH + DY96,200811,6,4,200813
1,200714,ED3052A,LUAm1,15M,Medium-High,72hpi,TRUE,FALSE,0,200714_ED3052A_LUAm1_15M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,25,1000,2A,176000,85.22727273,1,0.25,6,0.530785563,21,continuous,200810,Sp.9 FISH + DY96,200811,25,4,200813
1,200714,ED3052B,LUAm1,0M,Mock,72hpi,FALSE,FALSE,18,200714_ED3052B_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,7,1000,2A,176000,0,1,0.25,6,0,21,continuous,200810,Sp.9 FISH + DY96,200811,7,4,200813
1,200714,ED3052B,LUAm1,10M,Medium,72hpi,TRUE,FALSE,5,200714_ED3052B_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,8,1000,2A,176000,56.81818182,1,0.25,6,0.353857042,21,continuous,200810,Sp.9 FISH + DY96,200811,8,4,200813
1,200714,ED3052B,LUAm1,15M,Medium-High,72hpi,TRUE,FALSE,6,200714_ED3052B_LUAm1_15M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,26,1000,2A,176000,85.22727273,1,0.25,6,0.530785563,21,continuous,200810,Sp.9 FISH + DY96,200811,26,4,200813
1,200714,JU1400,AWRm78,3.5M,High,72hpi,TRUE,FALSE,11,200714_JU1400_AWRm78_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,16,1000,1,63625,55.00982318,1,0.25,6,0.123849965,21,continuous,200810,microB FISH + DY96,200811,16,4,200813
1,200714,JU1400,ERTm5,1.75M,Medium,72hpi,FALSE,FALSE,10,200714_JU1400_ERTm5_1.75M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,19,1000,2,427000,4.098360656,1,0.25,6,0.061924982,21,continuous,200810,microB FISH + DY96,200811,19,4,200813
1,200714,JU1400,ERTm5,3.5M,High,72hpi,FALSE,FALSE,3,200714_JU1400_ERTm5_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,20,1000,2,427000,8.196721311,1,0.25,6,0.123849965,21,continuous,200810,microB FISH + DY96,200811,20,4,200813
1,200714,JU1400,LUAm1,0M,Mock,72hpi,FALSE,FALSE,8,200714_JU1400_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,3,1000,2A,176000,0,1,0.25,6,0,21,continuous,200810,Sp.9 FISH + DY96,200811,3,4,200813
1,200714,JU1400,LUAm1,10M,Medium,72hpi,FALSE,FALSE,0,200714_JU1400_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,4,1000,2A,176000,56.81818182,1,0.25,6,0.353857042,21,continuous,200810,Sp.9 FISH + DY96,200811,4,4,200813
